user_address,amount,percent,LV aidrop,LV total supply,LV bag P0.05%,LV bag total,,,,,,,,,,,,,
0xe21e060ae0b7b6ed120d120695a3244ff8c764f9,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x55f10ac7323dab8dbd46618b72f178be85c6c0b3,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x82de74fbd9222ce15c6844f34ac2d130be8ddd8e,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x37ac0e73830f6984b520896843b181c545208801,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x21f9c48b6b36f00d52ae61a4755b21ec2d385f3d,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xe17f33c159e9f5daa2c23122089b9db34ff7f5bb,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xe80bcf4b7873a0dc4ff47e3bd06d494041e130dd,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xa8824bf3ebb8e82e2a3f5a5c0295ce8256bae0eb,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xa7aebf7df7e6c6e37ed465d8843f08db84ed4587,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xa3848290f369225269745a67c5067a43c1daacdf,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x8ae41013caeef2a837fd572cf85ebb3d3a551edd,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xf96c4ac582d57f41c9fedd7aedd8c3a0e2e6516e,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x94f845cd28930f316afb84a703e4c2ab6560dcbf,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xf446724b06c6cc0632e7877341ea5133e540b6c9,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x8c79257efb188472dcc85ade58a6c31c2b870aee,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x4dd4530d2f3f00675f74280e38082e6058ac0fcc,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x8355c5eb498de3c94d759d4627d339a516c66f74,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x48e15eda0eeb41549eaa20587866b17c6a38d982,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x2e7255ca8d8904ae37c2a27c547b3b4740cb16e3,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x9baf48fe23ef619b7c16ac7eb8ec72c86a5a28a3,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x185a1f461ccea5fb142e29b365cc41d636f2b039,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xbacdd5771200ea09346562c79b2c722f31878f2a,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xe37c9055f42ecb91bef4f839e812c8e0d1f9d55b,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x5b61c245ed65049332572b4f0bf58a3a27a5dabd,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xe6df8d97e150f96ed0960a79215a276b5802d633,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x0b0cd13678e585c5f2fef2758e62f86d319c6766,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x39a74728e7dd81be4938444ceba009e48c42a133,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x37e2d80880c7bf8c9f1881139ee64949a2bf887a,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xbb0c83402b3fed7d45f3672aa2f1ce6b29290cdb,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xba0ebc706ffbd4fffda79108ee1a6d9f6e79968e,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xaffb04602aa108bd94f37d9f379eaf240bc0fc09,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x6f0333e09901d5887319c0fffaf57f3620b51fca,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xd520cbb510430cf4457788a292488d03c2a8de98,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x8af8b2780aef7b83264537518b20c20c3bf768a4,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xb2159f4614ab1570252ec2ca43114adc45d2c7ac,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x8c346e307efbc7c3dfb8ad5a3cca26f153178d0f,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x0a3988f01bc0ef486130318add1651ad8eb1bfb8,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xed060129977d3f46b0525701cc48e526d3210f31,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x58ab20f9041bc26cfb044268539a898104e46870,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x0ae26c1b1b4762f58b7a024ed55c54ef72dbf873,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x5e535c88b48895469a314fca75d569f41122321f,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xfe52da09a87fa10b42f8649144285b6a2a3b8f65,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x2eaa5aaead2192b6fd9d921ed1d72e3b27b82ad5,100,0.167%,836.33,,,,,,,,,,,,,,,,
