user_address,balance_wei,balance_readable
0x348c6a77fd9715ad6747a2cfa8b6b35e87361a84,0,0.0
0xe290f548e601406ec679f406766cb603605d9b90,2220000000000000000,2.22
0x9e672980a06de614fd4ae764121f126473a56155,0,0.0
0xdd72dc6e3aa5ac106fa9c595910675ae032659c5,0,0.0
0x3d0de3a76cd9f856664dc5a3adfd4056e45da9ed,12270000000000000000,12.27
0xd0515e209f68f6052573b98760d75239545a83da,0,0.0
0xcdd1472ebe2e8d4a0a2982b208f71524385098f5,5740000000000000000,5.74
0x3d8250ac679dcfd1e90c29e7a64ab5013645e579,0,0.0
0x37d721dfcd1d7cf2baffcd0c83c9da03bd4fdeaf,0,0.0
0x30bf4a5ae182f41a5028d6bb219120de5779e8e5,0,0.0
0x0c234d4464f21d4b1820be50800b23565708762c,0,0.0
0xc1991dd9fb0a995a8480e8978813187c1cdd6483,0,0.0
0x2aeb8bcea852ff5fcbfae26e42f732485e8ec2d7,10120000000000000000,10.12
0xa63363cbf1e8a3d0a468842fd12d364d95abb8d2,0,0.0
0x8b223a13b001687512f8646dc5206ec1d7b7463f,47230000000000000000,47.23
0x30444714f1470823c1072d1ed4c09eba2399d5bd,0,0.0
0xe0a9ab8dfe08bbb2e12ebbbc249673cd530630b4,10470000000000000000,10.47
0xb901f551e33da7ff3f3a889c11796426ab44dd2a,13070000000000000000,13.07
0xc6a26a71156c65357e4971816258b93f5fd387dc,0,0.0
0xa6bdb7468f369f07048fc706259f8dc09d40816b,15570000000000000000,15.57
0xeeca2eee9d6c895267dec9fc1c8e1e62c99e79b6,5820000000000000000,5.82
0xb7663db38058a752b45010aa2d1e86684bb691be,112000000000000000000,112.0
0x80ab460ea904b677589bd858ee01143237c4abba,2397610000000000000000,2397.61
0x04749499d2ce73f8b167cabcf1df7762e32ccfec,1740000000000000000,1.74
0xbe3c55fcc7e47bf443c78c28262ee1a149b66dc4,20570000000000000000,20.57
0x76867e1eac6a3ccd29ea81eff4a713067bc386b5,0,0.0
0x4db5f9e5fe22937a1758962b05362913d12137f1,0,0.0
0x443d3f065eb7ba60e24bde92bba408391a1a6175,5720000000000000000,5.72
0x3e9ab2f00bba4fa9ad295989a43b9d1af8cd01e1,0,0.0
0x8a5ee8277a6ab6e94f5fc7b5556d7a4ad524649b,680000000000000000,0.68
0xc5028790d73646a63f044debdac696c027d83b2d,668500000000000000000,668.5
0xf370eaf549fbbed6b4bb243744e7d497de427aec,0,0.0
0xa5ba67fce750bec3c4fd37e2d894b1ae46e2dcf7,0,0.0
0x5ba0368f6d0cf136147eaf9a4d4b34ef9fc923be,0,0.0
0x7d8fe54d41257e783caf6de2880817aa4b991786,151960000000000000000,151.96
0x0bb0af9604e4c48da73fe6a08efdef5b13bc0fa0,0,0.0
0x420944b441715e34dd672ae0eb4526a7ad7d1eef,37090000000000000000,37.09
0xdc884ce28edd4af6578e5864c13d1cec3b17a2fe,0,0.0
0xd9220ad7ea62c002dea06eae81042a02ea5e31ea,0,0.0
0x3ce4fd2a539da442b0b81e7e17cc96e03da2e37a,0,0.0
0xa101e5dc74b3d2d981f5552419166874b4d9ef01,0,0.0
0x8bd091ddb56da56871152b8defa1ea6eee899337,0,0.0
0x0fb56426708cc97ce2993f2d731c449733812a22,61190000000000000000,61.19
0xd0b2a3752e17191d41b8fa33f11314cfc2035fdd,251480000000000000000,251.48
0x885e35cf26ed66a342bb58f8f1769a5495c5a314,0,0.0
0xefdfee4e9b7fc64481898244df6a803b889ec873,132170000000000000000,132.17
0x5943664330a9f4c1f25944fe102a2f2e45cfaeba,14610000000000000000,14.61
0x2e10f351688e9651b180273e93b39bbd227230e0,200700000000000000000,200.7
0xac02a9f447069fc566b8f7a86b603957fcfe2e3b,0,0.0
0x66890fe78c86644d89986fc1b14c5f3a56029ffd,2203510000000000000000,2203.51
0xf33888447d0c9b505615a76524fba9490ea4fbbe,1381290000000000000000,1381.29
0xb9b94a138a4b3cf982dfbf8685b6652fda5051b4,0,0.0
0xe4728d68cb313059c09986366bbeb358e8cac450,0,0.0
0x7d022802447c037839acd6d276136085ad95c2ce,0,0.0
0x1cc78988ca62fd0431f86a80b38fc4db865f0897,2010000000000000000,2.01
0x6539148f875e450c2ddfeb82c3c9458e77904721,2001670000000000000000,2001.67
0x0dfad89ab6bb91897f26b4353c2d051b457b18e2,455920000000000000000,455.92
0x8e0181195453bfe30afb3fda513a198cbab663c4,9440000000000000000,9.44
0x57b6771cdd64e00584e476b99821d8613fc43030,940920000000000000000,940.92
0x53c2587a7001d42d1d6cbc0d21e256e2bc27f66f,51320000000000000000,51.32
0xba97dcb8ca66c08b12f341a572dd0eda40ad73ff,14670000000000000000,14.67
0x093efdb8bff0a91a12009302bffa8ee66c30e430,0,0.0
0x814990b8b39e137e467d302d8798765bcbc16739,33150000000000000000,33.15
0x0540101c14072c787f87d67ac7d2a591d77d95f9,0,0.0
0xb2af994ddc2111990dadd2a89ab21e5ae1d3b20e,170540000000000000000,170.54
0xaa317ea02fa738ab85523888e791277b68a7c434,4350000000000000000,4.35
0x4b7fbad8241ee4234fd8534753b69fd91276a375,0,0.0
0x65d6bebf0089b57cdbcd9efc48af65fed0ad95f9,220120000000000000000,220.12
0xb6bfb65ec3e2420d1daf460c941e24f4e3fceb4b,0,0.0
0x5fc873faa3003b316715ac1501572718c1e85e3f,33960000000000000000,33.96
0x274dd17ce89a92ba6dcbad0b0f4426807f284ec2,1500000000000000000,1.5
0x86f21bfcf07e6b82af6a01527091e54e373648aa,153680000000000000000,153.68
0x634804f9808e9cf347e3f52c528b430df005ec32,1320000000000000000,1.32
0xcc551ecd4b0fba16aae88e094817a5abc22e6e79,359340000000000000000,359.34
0x8744e7f0fab5b06436307f258497777c41f75f06,31290000000000000000,31.29
0xf79c108fe2103f52c21c4063153605e351cb3d4d,0,0.0
0xca2426c457080f274c859f6a543a5d78b5e4a585,0,0.0
0x71ca66e64d1a7564e13519e5577bccaf4fa2ad2b,340010000000000000000,340.01
0x15c397e64ed9fbc436a896c580085b38983e00b0,0,0.0
0xa1403e816302c975c008ab2ff784296914aba46d,0,0.0
0x9b3062e8910bc148264a3c761363d5fb2c7e9a06,83650000000000000000,83.65
0x21021a33af8872c357433e3799b8b036eecc2549,3100000000000000000,3.1
0xca6776cd74d209c6090aa10db51d8ec4b2bb04eb,3043750000000000000000,3043.75
0xbaec1570630c499c2bc44810ac466f89d7d0b081,159960000000000000000,159.96
0x015e265c80c26d65d65b245b350cbd881daf61d2,24920000000000000000,24.92
0x7a3623f6752c25aaf01934d0f35eba187026bf42,19220000000000000000,19.22
0x5dc0145cf938703a58ac3ced9ff5977384981099,5150000000000000000,5.15
0xe749e93e86862caed188a967896dbfe5cab396d0,16930000000000000000,16.93
0xa9afdf445cf90e364bc4c2f21d1ee84e72cce7bd,784000000000000000000,784.0
0xb0ef1f2753ec6e860ea49f61c7dac2462c16f03e,2620000000000000000,2.62
0x0183f0ac28e287cbbba6ef10dc01dc4c9a62e524,2100000000000000000,2.1
0xc806173f17d03fa5175c948a3cd65e3cc2a5e428,218000000000000000000,218.0
0xfeb483fc3196f2dabfeaa5f18474e7db3def56b2,0,0.0
0x071ec7214bbf83077488bd503f5e8993534d895c,0,0.0
0xdb632e7b52311a99d1bb438f1edcbf168b5693b0,493420000000000000000,493.42
0x0e75eabd04986a8fb0b8cb30d6dd069c86e5e142,0,0.0
0xd869549882d885f94e18b8fa0c9ebbae76f4de09,3040000000000000000,3.04
0x063ebeff8fed3b09af055fce29433be05dceaeaa,32700000000000000000,32.7
0x95704a8eaa68fef7c775f25b7f6d43884810124d,700000000000000000,0.7
0x11212242ba29e3544b7fe2bd18ae328914b0ec5e,105080000000000000000,105.08
0xdadd0897d8e399fb4b9221994a7a4bfe638105e6,1953880000000000000000,1953.88
0xc7841c7e889e8119c78110abec4df305a4f32434,0,0.0
0x3791d4491be85270f5235714365af2ca9072fa61,19140000000000000000,19.14
0x72f259cf9c1c37caf7d2bde05b2e0b5c1f749801,9320000000000000000,9.32
0x24c4547305fd47286d843656d8468dc9d941e685,3760000000000000000,3.76
0xd3ff12b700ac4513576216cce88f99578bb17737,41810000000000000000,41.81
0x7c634ef8bd04a3231723ea314bf8acc35ec61297,0,0.0
0x4719c8fa592f0e3e583bac0416a78ebeca8c30ca,0,0.0
0x8b281c0fa39cb4f38d8cd315e7046969f3a1f5a5,0,0.0
0x6cb4119a22f9a86a2d8af0393dedb84de92888d2,3510000000000000000,3.51
0x429b6dca07fe2b1b4c078bc1544e5c8eb5028fbb,0,0.0
0x7f0834d214cf3e1ce18dac5b429e38becf2291b3,20770000000000000000,20.77
0xac228782dd0dfe312db149fb914f577c55de7a77,0,0.0
0x65c93103eb55971fb5262a649eb942c16f5545d9,11940000000000000000,11.94
0x1739ca7eac637f461b0cc37754f11d4df498140f,0,0.0
0x07944b3a256f40f05f6df74c1dc5a47abefc0828,0,0.0
0xf290f1582bed3a25e40c8cc3a58c54c3ad3027da,1042510000000000000000,1042.51
0x02af4051ec4dab406804a586430084efd673cf11,52270000000000000000,52.27
0xa03616a969119be6d0b79d5f22caa2b3a7c972f3,1300000000000000000,1.3
0xf96c4ac582d57f41c9fedd7aedd8c3a0e2e6516e,0,0.0
0x4d5254c9e5e2966ec688107e0e7cf226fb705ec7,0,0.0
0x6d472f67385526373a0802e4d494319a3f684e8c,0,0.0
0xd9ea40b7b49fa005e5bf243528772d2ca32c24f8,1040000000000000000,1.04
0x3f3ae20f3db871343f91b1da85b8f1da9db732d7,5900000000000000000,5.9
0xd67b9c201d9b9003e8d703e280eadc6dc496f72d,29710000000000000000,29.71
0xb9ec4e1886adeefa95cb4d13873dc420dfe6b583,18756860000000000000000,18756.86
0xa9abe50bbfb3aef8760dc1695fae20b1552d0b2a,0,0.0
0x1ecfe2d9d45e1c08f7501c5c2cd046ac0da47f9d,0,0.0
0x35f72cfac6c76d40b47ad674d6c448cb539f6ec6,375620000000000000000,375.62
0x5e38573a59c8254fc41197917790620ec23f7b34,696030000000000000000,696.03
0xf9e9d488adc848fefc5eff30d450fb60922c9e28,17360000000000000000,17.36
0xe0870cfd5cf08a4460014e156842904ef579a61d,0,0.0
0x99e763ee6f480c9876714e2eb3aa8d29e860fd2f,9369540000000000000000,9369.54
0xe65bfb0cade026e2046005fa8bba116236128cda,514490000000000000000,514.49
